task,classifier,train_fraction,seed,n_train,true_label,predicted_label,count
gender,logistic_regression,1.0,34,152,F,F,61
gender,logistic_regression,1.0,34,152,F,M,10
gender,logistic_regression,1.0,34,152,M,F,11
gender,logistic_regression,1.0,34,152,M,M,60
gender,random_forest,1.0,34,152,F,F,62
gender,random_forest,1.0,34,152,F,M,9
gender,random_forest,1.0,34,152,M,F,8
gender,random_forest,1.0,34,152,M,M,63
gender,hist_gradient_boosting,1.0,34,152,F,F,55
gender,hist_gradient_boosting,1.0,34,152,F,M,16
gender,hist_gradient_boosting,1.0,34,152,M,F,18
gender,hist_gradient_boosting,1.0,34,152,M,M,53
gender,mlp,1.0,34,152,F,F,61
gender,mlp,1.0,34,152,F,M,10
gender,mlp,1.0,34,152,M,F,12
gender,mlp,1.0,34,152,M,M,59
gender,logistic_regression,1.0,55,152,F,F,61
gender,logistic_regression,1.0,55,152,F,M,10
gender,logistic_regression,1.0,55,152,M,F,11
gender,logistic_regression,1.0,55,152,M,M,60
gender,random_forest,1.0,55,152,F,F,59
gender,random_forest,1.0,55,152,F,M,12
gender,random_forest,1.0,55,152,M,F,6
gender,random_forest,1.0,55,152,M,M,65
gender,hist_gradient_boosting,1.0,55,152,F,F,54
gender,hist_gradient_boosting,1.0,55,152,F,M,17
gender,hist_gradient_boosting,1.0,55,152,M,F,16
gender,hist_gradient_boosting,1.0,55,152,M,M,55
gender,mlp,1.0,55,152,F,F,63
gender,mlp,1.0,55,152,F,M,8
gender,mlp,1.0,55,152,M,F,26
gender,mlp,1.0,55,152,M,M,45
gender,logistic_regression,1.0,89,152,F,F,61
gender,logistic_regression,1.0,89,152,F,M,10
gender,logistic_regression,1.0,89,152,M,F,11
gender,logistic_regression,1.0,89,152,M,M,60
gender,random_forest,1.0,89,152,F,F,62
gender,random_forest,1.0,89,152,F,M,9
gender,random_forest,1.0,89,152,M,F,7
gender,random_forest,1.0,89,152,M,M,64
gender,hist_gradient_boosting,1.0,89,152,F,F,61
gender,hist_gradient_boosting,1.0,89,152,F,M,10
gender,hist_gradient_boosting,1.0,89,152,M,F,18
gender,hist_gradient_boosting,1.0,89,152,M,M,53
gender,mlp,1.0,89,152,F,F,64
gender,mlp,1.0,89,152,F,M,7
gender,mlp,1.0,89,152,M,F,11
gender,mlp,1.0,89,152,M,M,60
age,logistic_regression,0.1,13,16,18-24,18-24,50
age,logistic_regression,0.1,13,16,18-24,25-34,5
age,logistic_regression,0.1,13,16,18-24,35-49,0
age,logistic_regression,0.1,13,16,18-24,50-XX,1
age,logistic_regression,0.1,13,16,25-34,18-24,25
age,logistic_regression,0.1,13,16,25-34,25-34,27
age,logistic_regression,0.1,13,16,25-34,35-49,2
age,logistic_regression,0.1,13,16,25-34,50-XX,4
age,logistic_regression,0.1,13,16,35-49,18-24,5
age,logistic_regression,0.1,13,16,35-49,25-34,6
age,logistic_regression,0.1,13,16,35-49,35-49,7
age,logistic_regression,0.1,13,16,35-49,50-XX,2
age,logistic_regression,0.1,13,16,50-XX,18-24,1
age,logistic_regression,0.1,13,16,50-XX,25-34,3
age,logistic_regression,0.1,13,16,50-XX,35-49,3
age,logistic_regression,0.1,13,16,50-XX,50-XX,1
age,random_forest,0.1,13,16,18-24,18-24,48
age,random_forest,0.1,13,16,18-24,25-34,8
age,random_forest,0.1,13,16,18-24,35-49,0
age,random_forest,0.1,13,16,18-24,50-XX,0
age,random_forest,0.1,13,16,25-34,18-24,22
age,random_forest,0.1,13,16,25-34,25-34,34
age,random_forest,0.1,13,16,25-34,35-49,2
age,random_forest,0.1,13,16,25-34,50-XX,0
age,random_forest,0.1,13,16,35-49,18-24,1
age,random_forest,0.1,13,16,35-49,25-34,17
age,random_forest,0.1,13,16,35-49,35-49,2
age,random_forest,0.1,13,16,35-49,50-XX,0
age,random_forest,0.1,13,16,50-XX,18-24,3
age,random_forest,0.1,13,16,50-XX,25-34,4
age,random_forest,0.1,13,16,50-XX,35-49,1
age,random_forest,0.1,13,16,50-XX,50-XX,0
age,hist_gradient_boosting,0.1,13,16,18-24,18-24,56
age,hist_gradient_boosting,0.1,13,16,18-24,25-34,0
age,hist_gradient_boosting,0.1,13,16,18-24,35-49,0
age,hist_gradient_boosting,0.1,13,16,18-24,50-XX,0
age,hist_gradient_boosting,0.1,13,16,25-34,18-24,58
age,hist_gradient_boosting,0.1,13,16,25-34,25-34,0
age,hist_gradient_boosting,0.1,13,16,25-34,35-49,0
age,hist_gradient_boosting,0.1,13,16,25-34,50-XX,0
age,hist_gradient_boosting,0.1,13,16,35-49,18-24,20
age,hist_gradient_boosting,0.1,13,16,35-49,25-34,0
age,hist_gradient_boosting,0.1,13,16,35-49,35-49,0
age,hist_gradient_boosting,0.1,13,16,35-49,50-XX,0
age,hist_gradient_boosting,0.1,13,16,50-XX,18-24,8
age,hist_gradient_boosting,0.1,13,16,50-XX,25-34,0
age,hist_gradient_boosting,0.1,13,16,50-XX,35-49,0
age,hist_gradient_boosting,0.1,13,16,50-XX,50-XX,0
age,mlp,0.1,13,16,18-24,18-24,29
age,mlp,0.1,13,16,18-24,25-34,17
age,mlp,0.1,13,16,18-24,35-49,6
age,mlp,0.1,13,16,18-24,50-XX,4
age,mlp,0.1,13,16,25-34,18-24,4
age,mlp,0.1,13,16,25-34,25-34,17
age,mlp,0.1,13,16,25-34,35-49,25
age,mlp,0.1,13,16,25-34,50-XX,12
age,mlp,0.1,13,16,35-49,18-24,1
age,mlp,0.1,13,16,35-49,25-34,3
age,mlp,0.1,13,16,35-49,35-49,11
age,mlp,0.1,13,16,35-49,50-XX,5
age,mlp,0.1,13,16,50-XX,18-24,1
age,mlp,0.1,13,16,50-XX,25-34,2
age,mlp,0.1,13,16,50-XX,35-49,4
age,mlp,0.1,13,16,50-XX,50-XX,1
age,logistic_regression,0.1,21,16,18-24,18-24,44
age,logistic_regression,0.1,21,16,18-24,25-34,11
age,logistic_regression,0.1,21,16,18-24,35-49,1
age,logistic_regression,0.1,21,16,18-24,50-XX,0
age,logistic_regression,0.1,21,16,25-34,18-24,10
age,logistic_regression,0.1,21,16,25-34,25-34,41
age,logistic_regression,0.1,21,16,25-34,35-49,7
age,logistic_regression,0.1,21,16,25-34,50-XX,0
age,logistic_regression,0.1,21,16,35-49,18-24,4
age,logistic_regression,0.1,21,16,35-49,25-34,14
age,logistic_regression,0.1,21,16,35-49,35-49,2
age,logistic_regression,0.1,21,16,35-49,50-XX,0
age,logistic_regression,0.1,21,16,50-XX,18-24,0
age,logistic_regression,0.1,21,16,50-XX,25-34,4
age,logistic_regression,0.1,21,16,50-XX,35-49,1
age,logistic_regression,0.1,21,16,50-XX,50-XX,3
age,random_forest,0.1,21,16,18-24,18-24,44
age,random_forest,0.1,21,16,18-24,25-34,12
age,random_forest,0.1,21,16,18-24,35-49,0
age,random_forest,0.1,21,16,18-24,50-XX,0
age,random_forest,0.1,21,16,25-34,18-24,8
