task,classifier,train_fraction,seed,n_train,true_label,predicted_label,count
gender,hist_gradient_boosting,1.0,21,152,F,F,33
gender,hist_gradient_boosting,1.0,21,152,F,M,38
gender,hist_gradient_boosting,1.0,21,152,M,F,22
gender,hist_gradient_boosting,1.0,21,152,M,M,49
gender,mlp,1.0,21,152,F,F,54
gender,mlp,1.0,21,152,F,M,17
gender,mlp,1.0,21,152,M,F,34
gender,mlp,1.0,21,152,M,M,37
gender,logistic_regression,1.0,34,152,F,F,41
gender,logistic_regression,1.0,34,152,F,M,30
gender,logistic_regression,1.0,34,152,M,F,24
gender,logistic_regression,1.0,34,152,M,M,47
gender,random_forest,1.0,34,152,F,F,39
gender,random_forest,1.0,34,152,F,M,32
gender,random_forest,1.0,34,152,M,F,20
gender,random_forest,1.0,34,152,M,M,51
gender,hist_gradient_boosting,1.0,34,152,F,F,34
gender,hist_gradient_boosting,1.0,34,152,F,M,37
gender,hist_gradient_boosting,1.0,34,152,M,F,30
gender,hist_gradient_boosting,1.0,34,152,M,M,41
gender,mlp,1.0,34,152,F,F,31
gender,mlp,1.0,34,152,F,M,40
gender,mlp,1.0,34,152,M,F,15
gender,mlp,1.0,34,152,M,M,56
gender,logistic_regression,1.0,55,152,F,F,41
gender,logistic_regression,1.0,55,152,F,M,30
gender,logistic_regression,1.0,55,152,M,F,24
gender,logistic_regression,1.0,55,152,M,M,47
gender,random_forest,1.0,55,152,F,F,39
gender,random_forest,1.0,55,152,F,M,32
gender,random_forest,1.0,55,152,M,F,20
gender,random_forest,1.0,55,152,M,M,51
gender,hist_gradient_boosting,1.0,55,152,F,F,41
gender,hist_gradient_boosting,1.0,55,152,F,M,30
gender,hist_gradient_boosting,1.0,55,152,M,F,23
gender,hist_gradient_boosting,1.0,55,152,M,M,48
gender,mlp,1.0,55,152,F,F,61
gender,mlp,1.0,55,152,F,M,10
gender,mlp,1.0,55,152,M,F,47
gender,mlp,1.0,55,152,M,M,24
gender,logistic_regression,1.0,89,152,F,F,41
gender,logistic_regression,1.0,89,152,F,M,30
gender,logistic_regression,1.0,89,152,M,F,24
gender,logistic_regression,1.0,89,152,M,M,47
gender,random_forest,1.0,89,152,F,F,40
gender,random_forest,1.0,89,152,F,M,31
gender,random_forest,1.0,89,152,M,F,22
gender,random_forest,1.0,89,152,M,M,49
gender,hist_gradient_boosting,1.0,89,152,F,F,32
gender,hist_gradient_boosting,1.0,89,152,F,M,39
gender,hist_gradient_boosting,1.0,89,152,M,F,25
gender,hist_gradient_boosting,1.0,89,152,M,M,46
gender,mlp,1.0,89,152,F,F,46
gender,mlp,1.0,89,152,F,M,25
gender,mlp,1.0,89,152,M,F,37
gender,mlp,1.0,89,152,M,M,34
age,logistic_regression,0.1,13,16,18-24,18-24,31
age,logistic_regression,0.1,13,16,18-24,25-34,25
age,logistic_regression,0.1,13,16,18-24,35-49,0
age,logistic_regression,0.1,13,16,18-24,50-XX,0
age,logistic_regression,0.1,13,16,25-34,18-24,24
age,logistic_regression,0.1,13,16,25-34,25-34,34
age,logistic_regression,0.1,13,16,25-34,35-49,0
age,logistic_regression,0.1,13,16,25-34,50-XX,0
age,logistic_regression,0.1,13,16,35-49,18-24,7
age,logistic_regression,0.1,13,16,35-49,25-34,13
age,logistic_regression,0.1,13,16,35-49,35-49,0
age,logistic_regression,0.1,13,16,35-49,50-XX,0
age,logistic_regression,0.1,13,16,50-XX,18-24,4
age,logistic_regression,0.1,13,16,50-XX,25-34,3
age,logistic_regression,0.1,13,16,50-XX,35-49,1
age,logistic_regression,0.1,13,16,50-XX,50-XX,0
age,random_forest,0.1,13,16,18-24,18-24,41
age,random_forest,0.1,13,16,18-24,25-34,15
age,random_forest,0.1,13,16,18-24,35-49,0
age,random_forest,0.1,13,16,18-24,50-XX,0
age,random_forest,0.1,13,16,25-34,18-24,23
age,random_forest,0.1,13,16,25-34,25-34,35
age,random_forest,0.1,13,16,25-34,35-49,0
age,random_forest,0.1,13,16,25-34,50-XX,0
age,random_forest,0.1,13,16,35-49,18-24,14
age,random_forest,0.1,13,16,35-49,25-34,6
age,random_forest,0.1,13,16,35-49,35-49,0
age,random_forest,0.1,13,16,35-49,50-XX,0
age,random_forest,0.1,13,16,50-XX,18-24,7
age,random_forest,0.1,13,16,50-XX,25-34,1
age,random_forest,0.1,13,16,50-XX,35-49,0
age,random_forest,0.1,13,16,50-XX,50-XX,0
age,hist_gradient_boosting,0.1,13,16,18-24,18-24,56
age,hist_gradient_boosting,0.1,13,16,18-24,25-34,0
age,hist_gradient_boosting,0.1,13,16,18-24,35-49,0
age,hist_gradient_boosting,0.1,13,16,18-24,50-XX,0
age,hist_gradient_boosting,0.1,13,16,25-34,18-24,58
age,hist_gradient_boosting,0.1,13,16,25-34,25-34,0
age,hist_gradient_boosting,0.1,13,16,25-34,35-49,0
age,hist_gradient_boosting,0.1,13,16,25-34,50-XX,0
age,hist_gradient_boosting,0.1,13,16,35-49,18-24,20
age,hist_gradient_boosting,0.1,13,16,35-49,25-34,0
age,hist_gradient_boosting,0.1,13,16,35-49,35-49,0
age,hist_gradient_boosting,0.1,13,16,35-49,50-XX,0
age,hist_gradient_boosting,0.1,13,16,50-XX,18-24,8
age,hist_gradient_boosting,0.1,13,16,50-XX,25-34,0
age,hist_gradient_boosting,0.1,13,16,50-XX,35-49,0
age,hist_gradient_boosting,0.1,13,16,50-XX,50-XX,0
age,mlp,0.1,13,16,18-24,18-24,21
age,mlp,0.1,13,16,18-24,25-34,13
age,mlp,0.1,13,16,18-24,35-49,17
age,mlp,0.1,13,16,18-24,50-XX,5
age,mlp,0.1,13,16,25-34,18-24,7
age,mlp,0.1,13,16,25-34,25-34,13
age,mlp,0.1,13,16,25-34,35-49,31
age,mlp,0.1,13,16,25-34,50-XX,7
age,mlp,0.1,13,16,35-49,18-24,4
age,mlp,0.1,13,16,35-49,25-34,6
age,mlp,0.1,13,16,35-49,35-49,7
age,mlp,0.1,13,16,35-49,50-XX,3
age,mlp,0.1,13,16,50-XX,18-24,1
age,mlp,0.1,13,16,50-XX,25-34,2
age,mlp,0.1,13,16,50-XX,35-49,3
age,mlp,0.1,13,16,50-XX,50-XX,2
age,logistic_regression,0.1,21,16,18-24,18-24,41
age,logistic_regression,0.1,21,16,18-24,25-34,15
age,logistic_regression,0.1,21,16,18-24,35-49,0
age,logistic_regression,0.1,21,16,18-24,50-XX,0
age,logistic_regression,0.1,21,16,25-34,18-24,15
age,logistic_regression,0.1,21,16,25-34,25-34,42
age,logistic_regression,0.1,21,16,25-34,35-49,1
age,logistic_regression,0.1,21,16,25-34,50-XX,0
age,logistic_regression,0.1,21,16,35-49,18-24,6
age,logistic_regression,0.1,21,16,35-49,25-34,14
age,logistic_regression,0.1,21,16,35-49,35-49,0
age,logistic_regression,0.1,21,16,35-49,50-XX,0
age,logistic_regression,0.1,21,16,50-XX,18-24,2
age,logistic_regression,0.1,21,16,50-XX,25-34,6
age,logistic_regression,0.1,21,16,50-XX,35-49,0
age,logistic_regression,0.1,21,16,50-XX,50-XX,0
age,random_forest,0.1,21,16,18-24,18-24,45
age,random_forest,0.1,21,16,18-24,25-34,11
age,random_forest,0.1,21,16,18-24,35-49,0
age,random_forest,0.1,21,16,18-24,50-XX,0
age,random_forest,0.1,21,16,25-34,18-24,24
age,random_forest,0.1,21,16,25-34,25-34,34
age,random_forest,0.1,21,16,25-34,35-49,0
age,random_forest,0.1,21,16,25-34,50-XX,0
age,random_forest,0.1,21,16,35-49,18-24,5
age,random_forest,0.1,21,16,35-49,25-34,15
age,random_forest,0.1,21,16,35-49,35-49,0
age,random_forest,0.1,21,16,35-49,50-XX,0
age,random_forest,0.1,21,16,50-XX,18-24,3
age,random_forest,0.1,21,16,50-XX,25-34,5
