task,classifier,train_fraction,seed,n_train,true_label,predicted_label,count
age,xgboost,0.1,13,16,35-49,35-49,0
age,xgboost,0.1,13,16,35-49,50-XX,0
age,xgboost,0.1,13,16,50-XX,18-24,5
age,xgboost,0.1,13,16,50-XX,25-34,3
age,xgboost,0.1,13,16,50-XX,35-49,0
age,xgboost,0.1,13,16,50-XX,50-XX,0
age,mlp,0.1,13,16,18-24,18-24,10
age,mlp,0.1,13,16,18-24,25-34,20
age,mlp,0.1,13,16,18-24,35-49,21
age,mlp,0.1,13,16,18-24,50-XX,5
age,mlp,0.1,13,16,25-34,18-24,10
age,mlp,0.1,13,16,25-34,25-34,24
age,mlp,0.1,13,16,25-34,35-49,21
age,mlp,0.1,13,16,25-34,50-XX,3
age,mlp,0.1,13,16,35-49,18-24,5
age,mlp,0.1,13,16,35-49,25-34,5
age,mlp,0.1,13,16,35-49,35-49,6
age,mlp,0.1,13,16,35-49,50-XX,4
age,mlp,0.1,13,16,50-XX,18-24,2
age,mlp,0.1,13,16,50-XX,25-34,5
age,mlp,0.1,13,16,50-XX,35-49,1
